technique,recalibration_bins,evaluation_bins,group0_rmse_uncal,group0_rmse_cal,group0_absolute_change,group0_relative_change,group0_num_scores,group1_rmse_uncal,group1_rmse_cal,group1_absolute_change,group1_relative_change,group1_num_scores,group2_rmse_uncal,group2_rmse_cal,group2_absolute_change,group2_relative_change,group2_num_scores,group3_rmse_uncal,group3_rmse_cal,group3_absolute_change,group3_relative_change,group3_num_scores,group4_rmse_uncal,group4_rmse_cal,group4_absolute_change,group4_relative_change,group4_num_scores,collective_pre,collective_post,absolute change,relative change,numel
histogram_binning,10,10,0.018286239154617228,0.02861667687283865,0.01033,0.56493,12873,0.010648242235949764,0.00340846325286816,-0.00724,-0.679904,15154,0.02899133536533718,0.02725041595993957,-0.001741,-0.06005,13414,0.02698965023102402,0.012383960508242624,-0.014606,-0.541159,15078,0.039603533182220665,0.04219366336898103,0.00259,0.065401,15854,0.016736319489629357,0.004676300986470592,-0.01206,-0.72059,72373
isotonic_regression,10,10,0.018286239154617228,0.022623611504568344,0.004337,0.237193,12873,0.010648242235949764,0.008964362311644502,-0.001684,-0.158137,15154,0.02899133536533718,0.02866411371373017,-0.000327,-0.011287,13414,0.02698965023102402,0.008624072915535748,-0.018366,-0.680467,15078,0.039603533182220665,0.027584106911648417,-0.012019,-0.303494,15854,0.016736319489629357,0.002420528032819643,-0.014316,-0.855373,72373
isotonic_scaling_binning,10,10,0.018286239154617228,0.022471960704627664,0.004186,0.2289,12873,0.010648242235949764,0.014360407363645461,0.003712,0.348618,15154,0.02899133536533718,0.02297457635985854,-0.006017,-0.207536,13414,0.02698965023102402,0.004458532154916722,-0.022531,-0.834806,15078,0.039603533182220665,0.03902101540025848,-0.000583,-0.014709,15854,0.016736319489629357,0.006527984913058314,-0.010208,-0.609951,72373
