technique,recalibration_bins,evaluation_bins,group0_rmse_uncal,group0_rmse_cal,group0_absolute_change,group0_relative_change,group0_num_scores,group1_rmse_uncal,group1_rmse_cal,group1_absolute_change,group1_relative_change,group1_num_scores,group2_rmse_uncal,group2_rmse_cal,group2_absolute_change,group2_relative_change,group2_num_scores,group3_rmse_uncal,group3_rmse_cal,group3_absolute_change,group3_relative_change,group3_num_scores,group4_rmse_uncal,group4_rmse_cal,group4_absolute_change,group4_relative_change,group4_num_scores,collective_pre,collective_post,absolute change,relative change,numel
histogram_binning,10,10,0.0356418221337542,0.02979774470443928,-0.005844,-0.163967,2854,0.026290202476593853,0.0344970080350538,0.008207,0.312162,2622,0.03413911417736973,0.01514772340120035,-0.018991,-0.556294,3033,0.037400984954594124,0.021050150707267155,-0.016351,-0.437177,4404,0.05533880892498334,0.04087009063727085,-0.014469,-0.261457,3020,0.03301619685389041,0.008602440353242227,-0.024414,-0.739448,15933
isotonic_regression,10,10,0.0356418221337542,0.016055370354707176,-0.019586,-0.549536,2854,0.026290202476593853,0.024124265181319857,-0.002166,-0.082386,2622,0.03413911417736973,0.016118517383513123,-0.018021,-0.527858,3033,0.037400984954594124,0.025153096367870668,-0.012248,-0.327475,4404,0.05533880892498334,0.037358285673358756,-0.017981,-0.324917,3020,0.03301619685389041,0.012961082534742296,-0.020055,-0.607433,15933
isotonic_scaling_binning,10,10,0.0356418221337542,0.010520554460464196,-0.025121,-0.704826,2854,0.026290202476593853,0.021324409959582062,-0.004966,-0.188884,2622,0.03413911417736973,0.021283649236153963,-0.012855,-0.376561,3033,0.037400984954594124,0.03238936473680498,-0.005012,-0.133997,4404,0.05533880892498334,0.053412944385885106,-0.001926,-0.034801,3020,0.03301619685389041,0.014409837366103094,-0.018606,-0.563552,15933
